Song,Artist,Album,Requested,Time
Repatriated,"Handsome Furs","Sound Kapital",false,2011-10-01T18:42:20Z
"Saying I Love You",Girls,"Father, Son, Holy Ghost",false,2011-10-01T18:37:18Z
"Coming Down","Dum Dum Girls","Coming Down- Single",false,2011-10-01T18:31:02Z
"Art Vandelay",Ducktails,"Ducktails III: Arcade Dynamics",false,2011-10-01T18:26:56Z
"Careful What You Say","Class Actress","Journal of Ardency",false,2011-10-01T18:19:42Z
"10 Mile Stereo","Beach House","Teen Dream",false,2011-10-01T18:14:48Z
"Lucky 1","Avey Tare","Down There",false,2011-10-01T18:11:51Z
Cheerleader,"St. Vincent","Strange Mercy",false,2011-10-01T18:07:27Z
"Corvette Cassette","Slow Magic",Album,false,2011-10-01T18:04:56Z
"Do Your Thing","Isaac Hayes",Shaft,false,2011-10-01T02:31:46Z
"The Breaks","Kurtis Blow","Kurtis Blow",false,2011-10-01T02:31:27Z
"Back And Forth",Cameo,"Word Up!",false,2011-10-01T02:24:47Z
Ffun,"Con Funk Shun",Secrets,false,2011-10-01T02:21:23Z
"Living For The City","Stevie Wonder",Innervisions,false,2011-10-01T02:15:28Z
Hair,"Graham Central Station","Graham Central Station",false,2011-10-01T02:08:22Z
"Shakey Ground",Temptations,"A Song For You",false,2011-10-01T02:04:03Z
"Groove Me","King Floyd","In Yo'Face Vol. 1",false,2011-10-01T02:02:31Z
"All Aboard The Soul Funky Train","The J.B.s","Funky Good Time",false,2011-10-01T01:53:46Z
Pungee,"The Meters"," Look-Ka Py Py",false,2011-10-01T01:50:49Z
"Express Yourself","Charles Wright and the Watts 103rd Street Rhythm B","Express Yourself",false,2011-10-01T01:47:14Z
"Hit It and Quit It",Funkadelic,"Maggot Brain",false,2011-10-01T01:39:08Z
"Dr. Funkenstein",Parliament,"The Clones of Dr. Funkenstein",false,2011-10-01T01:34:17Z
"A Lovely Day","Gil Scott Heron & Brian Jackson","From South Africa To South Carolina",false,2011-10-01T01:33:44Z
"A Lovely Day","Gil Scott Heron and Brian Jackson","From South Africa To South Carolina",false,2011-10-01T01:32:59Z
"Move On Up","Curtis Mayfield",Curtis,false,2011-10-01T01:29:12Z
"Rapper's Delight","Sugarhill Gang","Sugarhill Gang",false,2011-10-01T01:28:57Z
